Metrics,sto6_hier.sol,sto6_GMM.sol,sto6_GMMCapitals.sol,sto6_GMMBridges.sol
Shipment cost,19964744.827325616,16577269.674108604,15803535.33227911,9400099.092154473
Shortage cost,0.0,699407027.2,186229478.39999998,0.0
Production cost,2835000.0,1445000.0,2388000.0,2835000.0
Total cost,22799744.827325616,717429296.8741087,204421013.7322791,12235099.092154473
Total Production,14175.0,7225.0,11940.0,14175.0
Total shipments,515.6666666666667,514.5,467.1666666666669,481.6666666666667
Total travelling time,76201.3161348306,63272.02165690307,60318.83714610348,35878.2408097499
Total Shortage,0.0,6544.166666666666,1742.5,0.0
