,hier,GMM,GMMCapitals,GMMBridges
41530,5,5,5,5
8520,9,9,9,9
68524,24,24,24,24
76520,22,22,22,22
70523,18,18,18,18
54520,25,25,25,25
25530,19,19,19,19
19532,27,27,27,27
85250,12,12,12,12
20550,10,10,10,10
17541,1,1,1,1
66001,11,11,11,11
19533,26,26,26,26
68547,1,1,1,1
19548,22,22,22,22
63548,11,11,11,11
47545,10,10,10,10
8549,9,9,9,9
41548,5,5,5,5
41551,5,5,5,5
47551,2,2,2,2
73555,22,22,22,22
23555,26,26,26,26
47555,2,2,2,2
52540,27,27,27,27
8558,9,9,9,9
8560,9,9,9,9
19001,22,22,22,22
85263,12,12,12,12
73563,28,28,28,28
20570,2,2,2,2
23570,26,26,26,26
66572,1,1,1,1
5576,15,15,15,15
86568,3,3,3,3
5579,29,29,29,29
15572,29,29,29,29
86569,3,3,3,3
99001,20,20,20,20
8573,9,9,9,9
50450,17,17,17,17
23574,18,18,18,18
50568,23,23,23,23
86571,3,3,3,3
86573,3,3,3,3
23580,16,16,16,16
50577,17,17,17,17
50573,19,19,19,19
5585,29,29,29,29
91540,13,13,13,13
68573,4,4,4,4
18592,21,21,21,21
50590,17,17,17,17
81591,12,12,12,12
25572,1,1,1,1
54553,25,25,25,25
5591,29,29,29,29
68575,4,4,4,4
25580,16,16,16,16
73585,28,28,28,28
23586,18,18,18,18
17513,1,1,1,1
15514,19,19,19,19
19517,19,19,19,19
68533,24,24,24,24
25592,1,1,1,1
25594,16,16,16,16
27001,31,31,31,31
63594,11,11,11,11
66594,1,1,1,1
15580,1,1,1,1
54599,25,25,25,25
85279,12,12,12,12
13580,10,10,10,10
5604,26,26,26,26
8606,9,9,9,9
50606,19,19,19,19
76606,22,22,22,22
5607,15,15,15,15
52612,3,3,3,3
68615,4,4,4,4
73616,22,22,22,22
44001,2,2,2,2
41615,5,5,5,5
73622,11,11,11,11
19622,27,27,27,27
73624,11,11,11,11
27580,31,31,31,31
27600,31,31,31,31
17614,1,1,1,1
13600,10,10,10,10
20614,4,4,4,4
5615,15,15,15,15
27615,6,6,6,6
68655,4,4,4,4
8634,9,9,9,9
5628,15,15,15,15
8638,9,9,9,9
85300,19,19,19,19
47660,2,2,2,2
5631,15,15,15,15
23660,18,18,18,18
41660,5,5,5,5
47675,9,9,9,9
54660,25,25,25,25
5642,15,15,15,15
52678,3,3,3,3
17662,1,1,1,1
70670,18,18,18,18
41668,5,5,5,5
20710,4,4,4,4
23670,18,18,18,18
23672,18,18,18,18
73675,11,11,11,11
70678,26,26,26,26
23675,18,18,18,18
54670,25,25,25,25
5649,29,29,29,29
23678,18,18,18,18
50680,17,17,17,17
54673,25,25,25,25
13620,18,18,18,18
20750,30,30,30,30
15660,19,19,19,19
13647,9,9,9,9
13650,10,10,10,10
5652,15,15,15,15
68679,24,24,24,24
13654,18,18,18,18
13655,18,18,18,18
5656,15,15,15,15
17665,1,1,1,1
23682,26,26,26,26
18610,21,21,21,21
95001,17,17,17,17
27660,31,31,31,31
50683,8,8,8,8
70702,18,18,18,18
13657,18,18,18,18
25662,16,16,16,16
5659,6,6,6,6
44650,30,30,30,30
52687,27,27,27,27
73678,28,28,28,28
5660,29,29,29,29
15667,19,19,19,19
85325,23,23,23,23
70708,26,26,26,26
20770,4,4,4,4
50689,8,8,8,8
13667,10,10,10,10
68684,24,24,24,24
86757,3,3,3,3
70713,18,18,18,18
13670,9,9,9,9
70717,18,18,18,18
5665,6,6,6,6
23686,18,18,18,18
5667,29,29,29,29
5670,29,29,29,29
47692,10,10,10,10
18753,21,21,21,21
68689,4,4,4,4
47703,10,10,10,10
52683,27,27,27,27
47707,10,10,10,10
5679,15,15,15,15
47720,2,2,2,2
13673,9,9,9,9
5042,15,15,15,15
27250,22,22,22,22
68720,24,24,24,24
73686,16,16,16,16
47001,2,2,2,2
15690,19,19,19,19
13683,9,9,9,9
19701,5,5,5,5
66682,11,11,11,11
5686,26,26,26,26
13688,4,4,4,4
99624,23,23,23,23
19698,22,22,22,22
54680,25,25,25,25
5690,26,26,26,26
8685,9,9,9,9
66687,11,11,11,11
81736,25,25,25,25
54720,25,25,25,25
25718,16,16,16,16
5736,26,26,26,26
76736,11,11,11,11
25743,16,16,16,16
68745,24,24,24,24
13744,4,4,4,4
70001,18,18,18,18
27745,22,22,22,22
47745,9,9,9,9
68755,24,24,24,24
15755,12,12,12,12
8758,9,9,9,9
18785,21,21,21,21
5756,1,1,1,1
5761,15,15,15,15
13760,9,9,9,9
52418,27,27,27,27
68770,24,24,24,24
41770,5,5,5,5
19785,27,27,27,27
70771,26,26,26,26
17777,1,1,1,1
19780,22,22,22,22
73770,28,28,28,28
85315,12,12,12,12
27787,31,31,31,31
13780,10,10,10,10
20787,10,10,10,10
81794,12,12,12,12
52788,3,3,3,3
97666,7,7,7,7
91798,3,3,3,3
5790,26,26,26,26
41791,5,5,5,5
85410,19,19,19,19
41799,5,5,5,5
47798,2,2,2,2
54800,25,25,25,25
41801,22,22,22,22
41797,5,5,5,5
15804,19,19,19,19
54810,25,25,25,25
23807,6,6,6,6
41807,5,5,5,5
19809,14,14,14,14
19807,27,27,27,27
13810,10,10,10,10
25815,28,28,28,28
54820,25,25,25,25
70820,18,18,18,18
19821,22,22,22,22
19824,22,22,22,22
85430,23,23,23,23
76828,22,22,22,22
8832,9,9,9,9
23815,18,18,18,18
76834,22,22,22,22
52835,3,3,3,3
13836,9,9,9,9
13838,9,9,9,9
5837,6,6,6,6
85400,12,12,12,12
25839,19,19,19,19
27800,6,6,6,6
5842,15,15,15,15
50370,8,8,8,8
44847,30,30,30,30
5847,15,15,15,15
44855,30,30,30,30
8849,9,9,9,9
5854,26,26,26,26
23855,6,6,6,6
68855,24,24,24,24
73854,11,11,11,11
86865,3,3,3,3
20001,30,30,30,30
18860,21,21,21,21
5858,26,26,26,26
73861,16,16,16,16
5861,15,15,15,15
25867,16,16,16,16
5873,6,6,6,6
76869,22,22,22,22
54874,25,25,25,25
86885,3,3,3,3
73870,16,16,16,16
13873,9,9,9,9
44874,30,30,30,30
85440,12,12,12,12
50001,8,8,8,8
41872,5,5,5,5
50711,8,8,8,8
25885,1,1,1,1
41885,5,5,5,5
5885,26,26,26,26
5887,26,26,26,26
5890,26,26,26,26
5893,4,4,4,4
85001,12,12,12,12
76892,22,22,22,22
13894,2,2,2,2
68895,4,4,4,4
47960,2,2,2,2
5895,26,26,26,26
15897,19,19,19,19
54003,10,10,10,10
15842,19,19,19,19
25851,1,1,1,1
